Keyword,SERP Position,Link,Performance Score,First Contentful Paint,First Contentful Paint time,Speed Index,Time To Interactive,first input delay,SEO Score
keto food list for beginners,3,https://kaseytrenum.com/keto-grocery-list/,0.91,0.97,1.4 s,1,0.97,310 ms,0.86
why safflower oil is bad for you,4,https://www.mindbodygreen.com/articles/safflower-oil,0.57,0.97,1.4 s,0.2,0.01,950 ms,0.9
why safflower oil is bad for you,5,https://draxe.com/nutrition/safflower-oil/,0.39,0.33,3.5 s,0,0,520 ms,0.92
keto food list for beginners,6,https://theketoqueens.com/beginner-keto-grocery-list/,0.66,0.73,2.3 s,0.84,0.62,190 ms,0.93
keto food list for beginners,1,https://www.kevinsnaturalfoods.com/blogs/blog/ultimate-keto-grocery-list-for-beginners,0.43,0.64,2.6 s,0.45,0.1,430 ms,1
why safflower oil is bad for you,3,https://www.healthline.com/health/safflower-oil-healthy-cooking-oil,0.41,0.38,3.4 s,0.1,0,380 ms,0.77
why safflower oil is bad for you,6,https://www.livestrong.com/article/546738-the-pros-cons-of-safflower-oil/,0.6,1,1.0 s,0.01,0,"1,150 ms",0.98
why safflower oil is bad for you,8,https://supplements.selfdecode.com/blog/safflower-oil/,0.97,0.96,1.5 s,1,1,50 ms,0.86
why safflower oil is bad for you,7,https://foodforbreastcancer.com/foods/safflower-oil,1,1,1.0 s,1,1,90 ms,1
why safflower oil is bad for you,1,https://www.centrafoods.com/blog/safflower-oil-good-or-bad,0.47,0.61,2.7 s,0.22,0.09,400 ms,0.84
why safflower oil is bad for you,2,https://www.healabel.com/safflower-oil-benefits-side-effects/,0.77,0.56,2.8 s,0.92,0.63,220 ms,0.9
why safflower oil is bad for you,3,https://brightland.co/blogs/field-notes/safflower-oil-vs-olive-oil,0.35,0.64,2.6 s,0.16,0.02,370 ms,0.91
why safflower oil is bad for you,4,https://www.rxlist.com/safflower/supplements.htm,0.44,0.6,2.7 s,0.02,0,"1,480 ms",0.76
why safflower oil is bad for you,1,https://perfectketo.com/safflower-oil/,0.25,0.35,3.5 s,0.05,0.07,220 ms,0.85
why safflower oil is bad for you,7,https://www.quora.com/Why-are-seed-oils-like-canola-and-safflower-oil-now-deemed-unhealthy-and-which-oils-are-the-healthiest-to-eat,0.31,0.33,3.5 s,0.23,0.14,"2,500 ms",0.92
keto food list for beginners,5,https://perfectketo.com/ketogenic-diet-grocery-list/,0.17,0.39,3.3 s,0.01,0.06,420 ms,0.86
keto food list for beginners,2,https://www.wholesomeyum.com/keto-shopping-list/,0.64,0.79,2.2 s,0.93,0.35,380 ms,0.93
keto food list for beginners,4,https://www.goodhousekeeping.com/health/diet-nutrition/a19660747/list-of-keto-diet-foods/,0.44,0.98,1.3 s,0.1,0,"1,820 ms",1
keto food list for beginners,8,https://www.ketoconnect.net/keto-diet-shopping-list/,0.47,0.26,3.8 s,0.43,0.15,390 ms,0.93
why safflower oil is bad for you,9,https://www.lybrate.com/topic/benefits-of-safflower-oil-and-its-side-effects,0.69,0.88,1.9 s,0.64,0.22,650 ms,0.93
keto food list for beginners,7,https://www.womenshealthmag.com/weight-loss/a23494478/keto-diet-grocery-list/,0.59,0.98,1.4 s,0,0,"1,880 ms",0.93
why safflower oil is bad for you,5,https://www.verywellfit.com/safflower-oil-nutrition-facts-and-health-benefits-4164403,0.72,0.99,1.2 s,0.97,0.61,510 ms,0.85
why safflower oil is bad for you,2,https://www.webmd.com/vitamins/ai/ingredientmono-96/safflower,0.54,0.92,1.7 s,0.01,0,"1,330 ms",0.89
keto food list for beginners,9,https://peopleschoicebeefjerky.com/blogs/news/keto-grocery-list,0.25,0.12,4.7 s,0.02,0,"1,110 ms",0.86
ketones drink,1,https://www.chetoniesogeni.net/drink-ketones-challenge-pacchetto-sfida-challenge-pruvit/,0.79,0.97,1.4 s,0.16,0.97,250 ms,0.91
ketones drink,3,https://www.prodottiketo.com/drink-ketones-challenge/,0.81,0.62,2.6 s,0.53,0.94,240 ms,0.91
why safflower oil is bad for you,9,https://foodwatch.com.au/reviews/item/product-review-super-high-oleic-safflower-oil.html,0.49,0.7,2.4 s,0.17,0.08,330 ms,0.86
why safflower oil is bad for you,6,https://www.thehealthyhomeeconomist.com/safflower-oil/,0.35,0.68,2.5 s,0.25,0.09,580 ms,0.92
why safflower oil is bad for you,8,https://www.masterclass.com/articles/what-is-safflower-oil-culinary-uses-and-benefits-of-safflower-oil-plus-quick-safflower-oil-salad-dressing-recipe,0.61,0.97,1.4 s,0.37,0,920 ms,0.7
ketones drink,8,https://healthnews.com/nutrition/weight-management/ketone-drinks-should-you-take-them/,0.61,0.52,2.9 s,0.72,0.28,400 ms,1
ketones drink,7,https://picclick.it/Pruvit-Keto-Nat-Drink-Ketones-Challenge-Ketoni-Esogeni-233947083081.html,0.83,0.67,2.5 s,0.96,0.84,110 ms,0.97
ketones drink,1,https://www.dietdoctor.com/low-carb/keto/drinks,0.67,0.75,2.3 s,0.88,0.46,310 ms,0.84
ketones drink,5,https://www.amazon.com/ketones-drink/s?k=ketones+drink,0.52,0.69,2.5 s,0.15,0.11,210 ms,0.76
ketones drink,6,https://www.ebay.it/itm/354533507103,0.51,0.58,2.8 s,0.18,0.02,"1,880 ms",0.83
ketones drink,3,https://blog.kissmyketo.com/articles/supplement/facts-about-ketones-drinks/,0.54,0.61,2.7 s,0.59,0.17,610 ms,0.93
ketones drink,4,https://drinkkenetik.com/,0.46,0.54,2.9 s,0.56,0.04,430 ms,0.86
ketones drink,2,https://www.ketoblog.it/ketones-challenge-pacchetto-sfida-10-giorni/,0.31,0.15,4.5 s,0.02,0.04,"1,020 ms",1
ketones drink,8,https://proteinpackage.co.uk/products/k-energy-yummy-sports-ketones-energy-drink-mixture-210g-30-servings,0.15,0.6,2.7 s,0.4,0.1,370 ms,0.77
ketones drink,9,https://www.ketomomsecrets.com/10-day-challenge,0.35,0.34,3.5 s,0.36,0.04,630 ms,0.91
ketones drink,7,https://www.lifeaidbevco.com/drinks/keto,0.34,0.85,2.0 s,0.01,0.01,420 ms,0.77
ketones drink,6,https://welleasy.co.uk/products/real-ketones-shift-d-bhb-ketone-drink-mix-with-quad-electrolyte-formula-watermelon-10-sachets,0.24,0.05,5.7 s,0,0,"1,000 ms",0.75
ceylon cinnamon benefits,3,https://www.medicalnewstoday.com/articles/318386,0.35,0.3,3.7 s,0.09,0,690 ms,0.77
ceylon cinnamon benefits,1,https://www.webmd.com/vitamins/ai/ingredientmono-330/ceylon-cinnamon,0.56,0.96,1.5 s,0,0,"1,360 ms",0.89
ketones drink,10,https://www.walgreens.com/store/c/productlist/N=522125/1/Brands=yes,0.27,0.16,4.4 s,0,0,"7,500 ms",0.85
ceylon cinnamon benefits,2,https://www.healthline.com/nutrition/10-proven-benefits-of-cinnamon,0.41,0.41,3.3 s,0,0,"1,790 ms",0.77
ceylon cinnamon benefits,7,https://perfectketo.com/ceylon-cinnamon-benefits/,0.2,0.35,3.5 s,0.02,0.06,330 ms,0.86
ceylon cinnamon benefits,8,https://vivadoria.com/blog/ceylon-cinnamon-everything-you-should-know-about-it/,0.4,0.3,3.7 s,0.62,0.42,680 ms,0.81
ceylon cinnamon benefits,5,https://www.srilankabusiness.com/faq/ceylon-spices/benefits-of-ceylon-cinnamon.html,0.28,0.38,3.4 s,0.18,0.06,270 ms,0.87
ceylon cinnamon benefits,4,https://www.mentalfoodchain.com/ceylon-cinnamon-benefits/,0.33,0.8,2.1 s,0,0,"1,490 ms",0.92
ketones drink,4,https://www.pruvitnow.com/products/ketoos-nat/,0.2,0.3,3.7 s,0,0,"2,640 ms",0.85
ceylon cinnamon benefits,2,https://www.zhounutrition.com/blogs/the-greatness-files/5-wonderful-health-benefits-of-ceylon-cinnamon,0.23,0.33,3.5 s,0.01,0,"1,330 ms",0.79
ceylon cinnamon benefits,5,https://www.bbcgoodfood.com/howto/guide/health-benefits-cinnamon,0.3,0.17,4.4 s,0.05,0.01,"1,340 ms",0.86
ceylon cinnamon benefits,3,https://greatist.com/health/ceylon-cinnamon,0.4,0.25,3.9 s,0.08,0,"1,200 ms",0.77
ceylon cinnamon benefits,9,https://www.peoplespharmacy.com/articles/cinnamon-offers-health-benefits-but-also-carries-serious-risks,0.53,0.98,1.3 s,0.84,0.25,560 ms,0.81
ceylon cinnamon benefits,6,https://draxe.com/nutrition/health-benefits-cinnamon/,0.36,0.23,4.0 s,0,0,"1,220 ms",0.92
ceylon cinnamon benefits,4,https://www.hollandandbarrett.com/the-health-hub/vitamins-and-supplements/supplements/what-does-cinnamon-do/,0.43,0.81,2.1 s,0.02,0.13,"1,040 ms",0.92
ceylon cinnamon benefits,1,https://m.timesofindia.com/life-style/food-news/what-is-ceylon-cinnamon-and-why-is-it-beneficial-for-you/photostory/81134851.cms,0.3,0.39,3.3 s,0.03,0,"5,310 ms",0.84
ceylon cinnamon benefits,8,https://www.themanual.com/fitness/benefits-of-cinnamon/,0.49,0.72,2.4 s,0.15,0,370 ms,0.79
modified keto diet,1,https://perfectketo.com/modified-keto-diet/,0.19,0.39,3.3 s,0.03,0.06,290 ms,0.86
modified keto diet,6,https://charliefoundation.org/diet-plans/modified-keto/,0.84,0.52,2.9 s,0.94,0.93,110 ms,0.93
modified keto diet,4,https://jerseymedweightloss.com/modified-keto-diet/,0.45,0.42,3.2 s,0.81,0.5,240 ms,1
modified keto diet,5,https://planketogenic.pro/en/keto-diet-plans/modified-keto,0.19,0.1,5.0 s,0.44,0.1,330 ms,0.9
ceylon cinnamon benefits,7,https://www.wsj.com/articles/little-bit-of-spice-for-health-but-which-one-1381786452,0.32,0.7,2.4 s,0,0,"5,120 ms",1
modified keto diet,8,https://www.foodnetwork.com/healthyeats/diets/2019/02/have-you-actually-been-doing-modified-keto-all-along-,0.42,0.26,3.8 s,0.18,0.05,850 ms,1
modified keto diet,3,https://www.ketodietcenter.in/modified-keto-diet/,0.88,0.85,2.0 s,0.25,0.99,20 ms,0.9
modified keto diet,7,https://alzres.biomedcentral.com/articles/10.1186/s13195-021-00783-x,0.91,0.97,1.4 s,0.99,0.48,150 ms,0.79
modified keto diet,7,https://www.prevention.com/weight-loss/diets/a30196446/keto-2-0-diet/,0.53,0.99,1.1 s,0.02,0,"1,140 ms",0.93
modified keto diet,1,https://www.thelist.com/1141331/how-to-successfully-follow-a-modified-keto-diet/,0.61,0.99,1.1 s,0.14,0,"1,080 ms",0.86
modified keto diet,2,https://health.usnews.com/wellness/food/articles/modified-keto-diet,0.47,0.47,3.1 s,0,0,"1,580 ms",0.86
modified keto diet,5,https://neurosciencenews.com/keto-med-diet-alzheimers-22942/,0.57,0.82,2.1 s,0.63,0.44,270 ms,0.91
fast mimicking diet,1,https://theceliacmd.com/fasting-mimicking-diet-what-is-it-does-it-work/,0.29,0.26,3.9 s,0.32,0.21,370 ms,0.91
fast mimicking diet,3,https://www.valterlongo.com/fasting-mimicking-program-and-longevity/,0.64,0.24,3.9 s,0.65,0.55,170 ms,0.91
fast mimicking diet,4,https://longevity.technology/lifestyle/five-day-fast-a-guide-to-the-fasting-mimicking-diet-for-weight-loss/,0.61,0.63,2.6 s,0.22,0.52,220 ms,0.91
fast mimicking diet,8,https://www.raowellness.com/3-things-you-need-to-know-about-the-fasting-mimicking-diet/,0.71,0.21,4.1 s,0.79,0.86,20 ms,0.93
fast mimicking diet,7,https://www.shape.com/healthy-eating/diets/fasting-mimicking-diet,0.76,0.99,1.2 s,0.98,0.3,370 ms,1
fast mimicking diet,6,https://perfectketo.com/fasting-mimicking-diet/,0.21,0.35,3.5 s,0.02,0.05,350 ms,0.86
modified keto diet,9,https://rushcuttershealth.com.au/the-ketogenic-diet-and-how-it-works/,0.49,0.24,4.0 s,0,0.13,150 ms,0.79
fast mimicking diet,5,https://prolonfmd.com/pages/fasting-mimicking-diet,0.29,0.38,3.4 s,0.01,0,"1,120 ms",0.97
keto carb calculator,1,https://www.ruled.me/keto-calculator/,0.76,0.66,2.5 s,0.96,0.47,220 ms,0.76
fast mimicking diet,10,https://richmondfunctionalmedicine.com/diy-fasting-mimicking-diet/,0.42,0.23,4.0 s,0.27,0.43,120 ms,0.99
fast mimicking diet,2,https://health.usnews.com/wellness/food/articles/what-is-the-fasting-mimicking-diet,0.47,0.47,3.1 s,0,0,"1,170 ms",0.86
fast mimicking diet,9,https://www.healthline.com/nutrition/fasting-mimicking-diet,0.38,0.37,3.4 s,0.01,0,620 ms,0.77
keto carb calculator,7,https://calculo.io/keto-calculator,0.82,1,1.0 s,0.57,0.83,100 ms,0.77
keto carb calculator,4,https://www.go-keto.com/en/academy/about-keto-diet/go-keto-calculator/,0.33,0.09,5.0 s,0.07,0.06,"1,850 ms",0.79
keto carb calculator,5,https://lowcarbyum.com/keto-macro-calculator/,0.64,0.75,2.3 s,0.82,0.25,370 ms,1
keto carb calculator,3,https://perfectketo.com/keto-macro-calculator/,0.25,0.26,3.9 s,0.04,0,950 ms,0.86
keto carb calculator,8,https://www.sweetashoney.co/simplest-macro-calculator/,0.43,0.54,2.9 s,0.43,0.08,"1,090 ms",0.89
keto carb calculator,10,https://apps.apple.com/us/app/keto-calculator-keto-buddy/id765076642,0.32,0.14,4.6 s,0.27,0.15,"1,310 ms",0.98
keto carb calculator,2,https://ketokarma.com/keto-calculator/,0.39,0.76,2.3 s,0,0,"1,060 ms",0.83
keto carb calculator,1,https://apps.apple.com/us/app/keto-calculator-keto-buddy/id765076642,0.29,0.08,5.2 s,0.26,0.11,"2,320 ms",0.98
ketones drink,5,https://www.optimoz.com.au/products/ketoneaid-ketone-ester-drink,0.08,0.74,2.3 s,0,0,"3,280 ms",0.91
keto carb calculator,5,https://www.drberg.com/calculators/keto,0.6,0.64,2.6 s,0.94,0.52,710 ms,0.93
keto carb calculator,2,https://www.go-keto.com/en/academy/about-keto-diet/go-keto-calculator/,0.33,0.09,5.0 s,0.05,0.07,"1,570 ms",0.79
keto carb calculator,4,https://www.ketoconnect.net/calculator/,0.32,0.11,4.9 s,0.04,0.03,530 ms,0.93
keto carb calculator,9,https://www.castironketo.net/blog/free-keto-macro-calculator/,0.58,0.95,1.6 s,0,0,"1,030 ms",0.92
keto carb calculator,6,https://ketodietapp.com/Blog/page/KetoDiet-Buddy,0.77,0.53,2.9 s,0.87,0.82,180 ms,0.93
modified keto diet,8,https://www.everydayhealth.com/diet-nutrition/ketogenic-diet/comprehensive-ketogenic-diet-food-list-follow/,0.48,0.69,2.5 s,0,0,"4,000 ms",0.92
keto carb calculator,6,https://ketogenic.com/calculator/,0.27,0.05,5.7 s,0,0,"4,300 ms",0.82
how to cancel keto pills order,1,https://help.perfectketo.com/article/1l43gu37iq-how-do-i-cancel-my-order,0.95,0.84,2.0 s,0.99,0.98,110 ms,0.98
keto carb calculator,8,https://keto-calculator.ankerl.com/,0.19,0.39,3.3 s,0.22,0.03,440 ms,0.83
keto carb calculator,7,https://mariamindbodyhealth.com/calculator/,0.31,0.57,2.8 s,0.31,0.04,"1,880 ms",0.76
keto carb calculator,3,https://healthyeater.com/keto-diet-macros,0.54,0.62,2.6 s,0.15,0,"1,390 ms",0.86
keto carb calculator,9,https://www.trifectanutrition.com/keto-macro-calculator,0.52,0.83,2.0 s,0.18,0,480 ms,0.77
how to cancel keto pills order,2,https://help.ketocycle.diet/hc/en-us/articles/360013591417-How-to-cancel-the-Keto-Cycle-subscription,0.64,0.84,2.0 s,0.85,0.34,690 ms,0.93
how to cancel keto pills order,6,https://help.myketoplan.co/article/57-how-do-i-cancel,0.91,0.79,2.2 s,0.97,0.94,100 ms,0.97
how to cancel keto pills order,5,https://www.quora.com/How-do-you-cancel-a-Keto-Slim-subscription,0.36,0.51,2.9 s,0.39,0.26,"2,340 ms",0.84
how to cancel keto pills order,7,https://www.totalketodiet.com/hc/how-to-pause-or-cancel-subscription/,0.59,0.51,3.0 s,0.73,0.26,430 ms,0.91
how to cancel keto pills order,8,https://cancelwizard.com/article/how-to-cancel-keto-prime.html,0.88,0.92,1.7 s,0.91,0.87,240 ms,0.8
keto carb calculator,10,https://teamketo.com/pages/keto-calculator,0.29,0.37,3.4 s,0.05,0,820 ms,1
modified keto diet,3,https://sunwarrior.com/blogs/health-hub/is-this-modified-keto-diet-healthier,0.18,0.16,4.4 s,0,0,"6,020 ms",0.86
how to cancel keto pills order,2,https://www.bbb.org/us/az/scottsdale/profile/online-shopping/keto-prime-diet-pills-1126-1000074320/complaints,0.44,1,1.0 s,0.74,0.27,590 ms,0.92
how to cancel keto pills order,10,https://www.wikihow.com/Cancel-an-Online-Order,0.6,0.99,1.2 s,0.75,0.1,470 ms,0.84
how to cancel keto pills order,3,https://www.ketovie.com/support/customer-service/,0.68,0.67,2.5 s,0.64,0.4,340 ms,0.77
how to cancel keto pills order,8,https://ketokrate.helpdocs.io/managing-your-subscription/cancel-my-subscription,0.89,0.88,1.9 s,0.98,0.72,260 ms,0.91
how to cancel keto pills order,7,https://www.laborum.cl/noticias/IEQHVBYlose/how-to-cancel-keto-prime-pills-xxdj-order/,0.42,0.17,4.4 s,0.26,0.05,370 ms,0.86
how to cancel keto pills order,1,https://www.unam.edu.na/diet-auic/how-to-cancel-keto-hzkl-pills-order/,0.38,0.04,5.9 s,0,0.18,310 ms,0.82
how to cancel keto pills order,5,https://tastecando.com/pages/shipping-and-return-policies,0.27,0.22,4.0 s,0,0,"1,200 ms",1
collagen vs protein powder,2,https://welldaily.co/collagen-powder-vs-protein-powder-whats-the-difference/,0.58,0.26,3.8 s,0.6,0.36,330 ms,0.91
how to cancel keto pills order,4,https://ketogenic.com/what-to-do-if-you-are-a-victim-of-a-keto-scam-steps-to-getting-your-money-back-from-shark-tank-keto-pills/,0.31,0.04,6.0 s,0.38,0.02,"4,240 ms",0.91
how to cancel keto pills order,9,https://ketosupplements.co.uk/keto-supplements-shipping-returns/,0.31,0.48,3.0 s,0.15,0.09,770 ms,0.98
collagen vs protein powder,1,https://www.mindbodygreen.com/articles/benefits-of-collagen-powder-vs-protein-powder-whats-best-for-you,0.56,0.98,1.3 s,0.31,0.02,620 ms,0.93
how to cancel keto pills order,6,https://www.outlookindia.com/outlook-spotlight/keto-blast-gummies-reviews-official-website-shocking-report-shark-tank-keto-gummies-news-215164,0.34,0.62,2.7 s,0.05,0,"1,130 ms",0.84
how to cancel keto pills order,10,https://www.multitrabajos.com/noticias/CGxfktylose/how-to-cancel-trim-pill-keto-sVSW/,0.4,0.24,3.9 s,0.03,0.28,290 ms,0.86
collagen vs protein powder,7,https://reillybeatty.com/collagen-and-protein-powder-which-one-should-you-take/,0.73,0.69,2.5 s,0.67,0.78,230 ms,0.99
how to cancel keto pills order,4,https://www.aarp.org/money/scams-fraud/info-2020/keto-diet-pill-scams.html,0.31,0.59,2.7 s,0.03,0,"1,540 ms",0.93
how to cancel keto pills order,9,https://www.unam.edu.na/diet-auic/how-to-cancel-keto-hzkl-pills-order/,0.17,0,8.5 s,0,0.08,"1,680 ms",0.82
collagen vs protein powder,4,https://www.furtherfood.com/collagen-versus-whey/,0.1,0.37,3.4 s,0.03,0,650 ms,0.92
collagen vs protein powder,9,https://www.op2labs.com/blog/collagen-protein-whey-protein,0.52,0.52,2.9 s,0.24,0.03,830 ms,0.93
collagen vs protein powder,6,https://www.vitacost.com/blog/the-difference-between-protein-and-collagen-powders/,0.3,0.35,3.5 s,0.07,0.07,"1,170 ms",1
collagen vs protein powder,10,https://frogfuel.com/blogs/news/collagen-protein-vs-whey-protein,0.23,0.37,3.4 s,0.05,0,960 ms,0.84
collagen vs protein powder,5,https://organika.com/blogs/the-o-life/collagen-vs-protein-powder,0.25,0.16,4.4 s,0,0,"1,440 ms",0.79
gki calculator,3,https://www.convertcalculator.com/templates/gki/,0.73,0.95,1.5 s,0.78,0.68,300 ms,0.88
collagen vs protein powder,8,https://www.bodyandsoul.com.au/health/womens-health/the-major-difference-between-collagen-and-protein-powder/news-story/cfdbd0a81c17915fad04ad62c1d02daf,0.33,0.8,2.1 s,0,0,670 ms,0.78
gki calculator,4,https://www.calconic.com/calculator-widgets/gki-calculator/5d5591d8686aa300298562e2,0.35,0.92,1.7 s,0.19,0.21,"2,090 ms",0.96
gki calculator,1,https://keto-mojo.com/glucose-ketone-index-gki/,0.25,0,11.0 s,0,0,"2,800 ms",0.85
gki calculator,5,https://www.biohackerslab.com/resources/glucose-ketone-index-calculator/,0.86,0.96,1.5 s,0.97,0.94,220 ms,0.99
gki calculator,2,https://perfectketo.com/glucose-ketone-index-calculator/,0.19,0.25,3.9 s,0,0.04,210 ms,0.86
gki calculator,1,https://www.calconic.com/calculator-widgets/keto-mojo-gki-calculator-glu-mg-dl/5d5591d8686aa300298562e2,0.34,0.92,1.7 s,0.18,0.2,"1,880 ms",0.96
gki calculator,3,https://www.powermeal.co.uk/glucose-ketone-index-gki/,0.59,0.45,3.1 s,0.05,0.32,490 ms,0.93
gki calculator,8,https://www.powermeal.co.uk/glucose-ketone-index-gki/,0.59,0.45,3.1 s,0.05,0.32,490 ms,0.93
gki calculator,6,https://foracare.com/glucose-ketone-index-gki-equals-more-efficient-way-to-understand-overall-health/,0.47,0.47,3.1 s,0.02,0,"1,380 ms",1
gki calculator,7,https://thehealthymd.com/glucose-ketone-index-calculator/,0.19,0.76,2.3 s,0.01,0.01,590 ms,0.93
gki calculator,8,https://www.bp-server.com/gki/,0.55,0,9.7 s,0.03,0.28,210 ms,0.83
gki calculator,9,https://www.bp-server.com/gki/,0.55,0,9.7 s,0.03,0.28,210 ms,0.83
gki calculator,7,https://nutritionandmetabolism.biomedcentral.com/articles/10.1186/s12986-015-0009-2,0.67,0.96,1.5 s,0.58,0.36,370 ms,0.91
gki calculator,5,https://help.carbmanager.com/docs/calculate-the-glucose-ketone-index-gki,0.24,0.04,5.8 s,0.43,0.12,440 ms,0.85
collagen vs protein powder,3,https://www.livescience.com/collagen-vs-whey-protein,0.35,0.53,2.9 s,0,0,"1,730 ms",0.92
gki calculator,6,https://apps.apple.com/gb/app/gki-tracker/id1452955250,0.28,0.02,6.5 s,0.09,0.15,"1,620 ms",0.98
gki calculator,9,https://fora-online-store.reamaze.com/kb/faqs/where-can-i-find-the-gki-and-dr-boz-ratio,0.84,0.42,3.2 s,0.91,0.93,330 ms,0.92
gki calculator,2,https://www.go-keto.com/en/academy/about-keto-diet/how-do-i-calculate-my-glucose-and-ketone-index/,0.3,0.09,5.0 s,0,0,"1,680 ms",0.86
keto rash,2,https://www.sciencedirect.com/science/article/pii/S024886632030583X,0.55,0.49,3.0 s,0.7,0.13,820 ms,0.91
keto rash,9,https://skinkraft.com/blogs/articles/keto-rash,0.55,0.76,2.2 s,0.71,0.41,690 ms,0.84
gki calculator,10,http://gki-calculator.allbestapps.net/,0.54,0.05,5.7 s,0.19,0.22,170 ms,0.84
keto rash,7,https://www.insider.com/guides/health/diet-nutrition/keto-rash,0.63,0.89,1.8 s,0.62,0,"1,360 ms",0.98
keto rash,5,https://doc.handicapsrares.fr/index.php?lvl=notice_display&id=18161,0.25,0,20.7 s,0,0,"6,610 ms",0.9
keto rash,8,https://ketologic.com/blogs/articles/what-is-keto-rash,0.33,0.58,2.8 s,0.08,0.01,"2,300 ms",1
keto rash,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8903224/,0.66,0.79,2.2 s,0.55,0.24,410 ms,0.92
keto rash,4,https://www.eatlegendary.com/blogs/nutrition/keto-rash-how-to-spot-prevent-treat-and-cure-prurigo-pigmentosa,0.38,0.4,3.3 s,0.45,0.08,820 ms,0.83
keto rash,1,https://www.womenshealthmag.com/weight-loss/a25475479/keto-rash/,0.36,0.97,1.4 s,0.02,0,990 ms,1
keto rash,3,https://keto-mojo.com/fr/article/what-is-keto-rash-and-how-to-prevent-it/,0.1,0,12.0 s,0,0,"3,930 ms",0.84
keto rash,4,https://www.healthline.com/health/keto-rash,0.39,0.36,3.5 s,0.05,0,"1,270 ms",0.77
keto rash,3,https://www.clinicaladvisor.com/home/topics/dermatology-information-center/trust-your-gut-diagnosis-and-treatment-of-keto-rash/,0.43,0.35,3.5 s,0.13,0.03,710 ms,0.77
keto rash,7,https://www.health.com/condition/skin-conditions/keto-rash,0.75,0.89,1.8 s,0.99,0.68,380 ms,0.93
keto rash,6,https://dermnetnz.org/topics/prurigo-pigmentosa,0.46,0.51,3.0 s,0.42,0.11,220 ms,0.83
keto rash,10,https://www.jaad.org/article/S0190-9622(19)32142-5/fulltext,0.23,0.02,6.4 s,0.03,0.07,560 ms,0.84
benefits of ceylon cinnamon,2,https://www.medicalnewstoday.com/articles/318386,0.43,0.51,2.9 s,0.12,0,720 ms,0.84
keto rash,5,https://www.kjim.org/m/makeCookie.php?url=/m/journal/view.php?number=170680,0.51,0.03,6.2 s,0.05,0.28,180 ms,0.5
keto rash,2,https://wellversed.in/blogs/articles/https-www-ketofy-in-keto-rash-the-cause-and-the-cure,0.29,0.3,3.7 s,0.15,0.01,680 ms,0.86
keto rash,8,https://hvmn.com/blogs/blog/ketosis-whats-keto-rash-and-how-to-prevent-it,0.28,0.32,3.6 s,0,0,"1,010 ms",0.92
benefits of ceylon cinnamon,8,https://vivadoria.com/blog/ceylon-cinnamon-everything-you-should-know-about-it/,0.42,0.38,3.4 s,0.72,0.44,610 ms,0.81
benefits of ceylon cinnamon,7,https://www.bbcgoodfood.com/howto/guide/health-benefits-cinnamon,0.39,0.66,2.5 s,0.13,0.01,"1,050 ms",0.86
benefits of ceylon cinnamon,1,https://www.healthline.com/nutrition/10-proven-benefits-of-cinnamon,0.4,0.41,3.3 s,0,0,"2,090 ms",0.77
keto friendly snacks,1,https://www.dietdoctor.com/low-carb/keto/snacks,0.65,0.7,2.4 s,0.92,0.39,280 ms,0.84
benefits of ceylon cinnamon,3,https://www.srilankabusiness.com/faq/ceylon-spices/benefits-of-ceylon-cinnamon.html,0.27,0.43,3.2 s,0.25,0.04,520 ms,0.87
keto friendly snacks,3,https://www.wholesomeyum.com/category/low-carb-snacks/,0.7,0.89,1.8 s,0.99,0.44,340 ms,0.93
keto friendly snacks,2,https://www.healthline.com/nutrition/best-keto-snacks,0.38,0.37,3.4 s,0.02,0,660 ms,0.77
keto friendly snacks,5,https://thebigmansworld.com/keto-snacks/,0.69,0.9,1.8 s,0.9,0.57,460 ms,0.98
keto friendly snacks,4,https://www.delish.com/cooking/g4801/keto-snacks/,0.51,0.98,1.3 s,0.22,0,"2,310 ms",0.93
keto friendly snacks,9,https://www.fourscoreliving.com/keto-snacks/,0.94,0.9,1.8 s,0.95,0.85,160 ms,1
benefits of ceylon cinnamon,6,https://timesofindia.indiatimes.com/life-style/food-news/what-is-ceylon-cinnamon-and-why-is-it-beneficial-for-you/photostory/81134851.cms,0.29,0.18,4.3 s,0.03,0,"4,210 ms",0.84
keto friendly snacks,10,https://perfectketo.com/keto-snacks/,0.16,0.39,3.3 s,0.03,0.05,330 ms,0.86
keto friendly snacks,7,https://www.ditchthecarbs.com/easy-lazy-keto-snacks/,0.49,0.9,1.8 s,0.07,0,"1,320 ms",0.93
keto friendly snacks,8,https://tasty.co/article/michelleno/keto-snack-recipes,0.42,0.72,2.4 s,0.11,0,"1,210 ms",1
benefits of ceylon cinnamon,4,https://www.mentalfoodchain.com/ceylon-cinnamon-benefits/,0.32,0.8,2.1 s,0,0,"1,440 ms",0.92
keto friendly snacks,6,https://realbalanced.com/blog/keto-snacks-walmart/,0.72,0.95,1.5 s,0.4,0.14,260 ms,0.84
benefits of ceylon cinnamon,5,https://draxe.com/nutrition/health-benefits-cinnamon/,0.36,0.23,4.0 s,0,0,710 ms,0.92
